worker_id,feedback_text,sentiment_label,rating,timestamp,topic
worker_2,Thanks — timely resolution and polite staff. It was late regarding timing.,positive,4,2025-09-14T17:21:45.409245,1
worker_2,The worker fixed the issue quickly and was polite.,positive,5,2025-07-04T17:21:45.409245,0
worker_5,"Work completed, nothing special to report.",neutral,4,2025-08-13T17:21:45.409245,1
worker_3,Thanks — timely resolution and polite staff. It was mess regarding cleanliness.,positive,5,2025-08-15T17:21:45.409245,0
worker_1,"Work completed, nothing special to report.",neutral,3,2025-08-11T17:21:45.409245,1
worker_10,"Rude behavior and slow service, not satisfied.",negative,3,2025-08-19T17:21:45.409245,4
worker_5,Poor workmanship; problem came back the next day.,negative,2,2025-06-28T17:21:45.409245,5
worker_6,Thanks — timely resolution and polite staff. It was poor regarding quality.,positive,4,2025-07-20T17:21:45.410239,1
worker_7,"Great job: problem solved same day, very professional.",positive,4,2025-08-08T17:21:45.410239,0
worker_7,"Great job: problem solved same day, very professional.",positive,5,2025-07-16T17:21:45.410239,0
worker_7,Took too long and didn't clean the area afterwards. It was delayed regarding timing.,negative,3,2025-07-28T17:21:45.410239,-1
worker_6,"Great job: problem solved same day, very professional.",positive,4,2025-08-29T17:21:45.410239,0
worker_3,Fixed the problem; average experience.,neutral,4,2025-07-20T17:21:45.410239,3
worker_9,The worker fixed the issue quickly and was polite.,positive,4,2025-08-05T17:21:45.410239,0
worker_2,"Great job: problem solved same day, very professional.",positive,5,2025-09-04T17:21:45.410239,0
worker_5,"Issue resolved, standard service. It was wait regarding timing.",neutral,4,2025-09-15T17:21:45.410239,2
worker_2,"Rude behavior and slow service, not satisfied. It was wait regarding timing.",negative,3,2025-07-17T17:21:45.410239,4
worker_2,Poor workmanship; problem came back the next day. It was trash regarding cleanliness.,negative,1,2025-07-10T17:21:45.410239,0
worker_4,Fixed the problem; average experience.,neutral,4,2025-07-22T17:21:45.410239,3
worker_2,The worker fixed the issue quickly and was polite. It was no update regarding communication.,positive,4,2025-06-19T17:21:45.410239,0
worker_1,The worker fixed the issue quickly and was polite.,positive,4,2025-06-24T17:21:45.410239,0
worker_8,"Great job: problem solved same day, very professional.",positive,5,2025-07-27T17:21:45.410239,0
worker_4,Worker was efficient and explained the fix clearly. It was left debris regarding cleanliness.,positive,4,2025-07-28T17:21:45.410239,0
worker_6,"Work completed, nothing special to report. It was wait regarding timing.",neutral,3,2025-08-25T17:21:45.410239,1
worker_5,The worker fixed the issue quickly and was polite.,positive,4,2025-07-10T17:21:45.410239,0
worker_1,Poor workmanship; problem came back the next day. It was left debris regarding cleanliness.,negative,1,2025-08-27T17:21:45.410239,0
worker_7,Worker was efficient and explained the fix clearly. It was not cleaned regarding cleanliness.,positive,5,2025-08-24T17:21:45.410239,0
